date,usd_vnd_rate,interest_rate_state,interest_rate_market,interest_rate_spread,dxy_index,fed_rate,World_Price_USD_Ounce,World_Price_VND,Domestic_Premium
2025-06-11,25990.0,4.92,5.32,0.40000000000000036,98.62999725341797,4.5,3321.300048828125,104072417.24657166,14727582.75342834
2025-06-12,26010.0,4.92,5.32,0.40000000000000036,97.91999816894531,4.5,3380.89990234375,106021492.96845192,12778507.031548083
2025-06-13,26020.0,4.92,5.32,0.40000000000000036,98.18000030517578,4.5,3431.199951171875,107640218.27381226,12859781.726187736
2025-06-14,26020.0,4.92,5.32,0.40000000000000036,98.18000030517578,4.5,3431.199951171875,107640218.27381226,12659781.726187736
2025-06-15,26020.0,4.92,5.32,0.40000000000000036,98.18000030517578,4.5,3431.199951171875,107640218.27381226,
2025-06-16,26050.0,4.92,5.32,0.40000000000000036,98.0,4.5,3396.39990234375,106671351.57589234,13828648.424107656
2025-06-17,26030.0,4.92,5.32,0.40000000000000036,98.81999969482422,4.5,3386.60009765625,106281906.23345289,13018093.766547114
2025-06-18,26072.0,4.92,5.32,0.40000000000000036,98.91000366210938,4.5,3389.800048828125,106553980.84548898,
2025-06-19,26092.0,4.92,5.32,0.40000000000000036,98.91000366210938,4.5,3389.800048828125,106635719.09406637,12764280.905933633
2025-06-20,26123.0,4.92,5.32,0.40000000000000036,98.70999908447266,4.5,3368.10009765625,106078969.18679765,
2025-06-21,26123.0,4.92,5.32,0.40000000000000036,98.70999908447266,4.5,3368.10009765625,106078969.18679765,13621030.813202351
2025-06-22,26123.0,4.92,5.32,0.40000000000000036,98.70999908447266,4.5,3368.10009765625,106078969.18679765,
2025-06-23,26119.0,4.92,5.32,0.40000000000000036,98.41999816894531,4.5,3377.699951171875,106365029.14897917,13334970.851020828
2025-06-24,26190.0,4.92,5.32,0.40000000000000036,97.86000061035156,4.5,3317.39990234375,104750131.40530884,14949868.594691157
2025-06-25,26150.0,4.92,5.32,0.40000000000000036,97.68000030517578,4.5,3327.10009765625,104895971.7861316,
2025-06-26,26150.0,4.92,5.32,0.40000000000000036,97.1500015258789,4.5,3333.5,105097746.29125,14702253.708749995
2025-06-27,26100.0,4.92,5.32,0.40000000000000036,97.4000015258789,4.5,3273.699951171875,103015038.6340027,16684961.3659973
2025-06-28,26100.0,4.92,5.32,0.40000000000000036,97.4000015258789,4.5,3273.699951171875,103015038.6340027,16684961.3659973
2025-06-29,26100.0,4.92,5.32,0.40000000000000036,97.4000015258789,4.5,3273.699951171875,103015038.6340027,
2025-06-30,26090.0,4.92,5.32,0.40000000000000036,96.87999725341797,4.5,3294.39990234375,103626694.69058277,15873305.309417233
2025-07-01,26118.0,4.92,5.32,0.40000000000000036,96.81999969482422,4.5,3336.699951171875,105069900.99033304,15230099.009666964
2025-07-02,26110.0,4.92,5.32,0.40000000000000036,96.77999877929688,4.5,3348.0,105393437.98200001,15306562.017999992
2025-07-03,26150.0,4.92,5.32,0.40000000000000036,97.18000030517578,4.5,3331.60009765625,105037846.6498816,15862153.350118399
2025-07-04,26175.0,4.92,5.32,0.40000000000000036,97.18000030517578,4.5,3332.5,105166664.259375,15733335.740624994
2025-07-05,26175.0,4.92,5.32,0.40000000000000036,97.18000030517578,4.5,3332.5,105166664.259375,
2025-07-06,26175.0,4.92,5.32,0.40000000000000036,97.18000030517578,4.5,3332.5,105166664.259375,
2025-07-07,26158.0,4.92,5.32,0.40000000000000036,97.4800033569336,4.5,3332.199951171875,105088898.41502826,15411101.58497174
2025-07-08,26120.0,4.92,5.32,0.40000000000000036,97.51000213623047,4.5,3307.0,104142648.44600001,16857351.55399999
2025-07-09,26110.0,4.92,5.32,0.40000000000000036,97.47000122070312,4.5,3311.60009765625,104247586.47357203,16352413.52642797
2025-07-10,26138.0,4.92,5.32,0.40000000000000036,97.6500015258789,4.5,3317.39990234375,104542150.99931128,16257849.000688717
