datetime,fed_rate,fed_change_pct
2026-02-15 02:17:31.940,3.75,0
2026-02-15 02:47:51.885,3.75,0
2026-02-15 03:40:18.326,3.75,0
2026-02-15 04:15:45.108,3.75,0
2026-02-15 04:32:47.931,3.75,0
2026-02-15 05:15:08.094,3.75,0
2026-02-15 05:24:58.058,3.75,0
2026-02-15 06:09:10.179,3.75,0
2026-02-15 06:43:21.037,3.75,0
2026-02-15 06:47:19.221,3.75,0
2026-02-15 07:36:07.402,3.75,0
2026-02-15 07:46:25.581,3.75,0
2026-02-15 07:48:27.100,3.75,0
2026-02-15 08:09:26.001,3.75,0
2026-02-15 08:43:10.863,3.75,0
2026-02-15 09:14:40.245,3.75,0
2026-02-15 09:40:30.922,3.75,0
2026-02-15 09:55:18.218,3.75,0
2026-02-15 10:25:07.020,3.75,0
2026-02-15 10:52:38.457,3.75,0
2026-02-15 11:40:42.878,3.75,0
2026-02-15 11:55:41.943,3.75,0
2026-02-15 12:20:32.754,3.75,0
2026-02-15 12:56:23.240,3.75,0
2026-02-15 13:22:30.396,3.75,0
2026-02-15 14:05:32.362,3.75,0
2026-02-15 14:24:28.722,3.75,0
2026-02-15 15:09:03.561,3.75,0
2026-02-15 15:27:26.350,3.75,0
2026-02-15 16:06:44.239,3.75,0
2026-02-15 16:20:50.375,3.75,0
2026-02-15 17:02:46.583,3.75,0
2026-02-15 17:17:02.065,3.75,0
2026-02-15 18:13:34.240,3.75,0
2026-02-15 18:39:36.938,3.75,0
2026-02-15 19:00:12.487,3.75,0
2026-02-15 19:33:08.233,3.75,0
2026-02-15 19:47:23.965,3.75,0
2026-02-15 20:37:36.186,3.75,0
2026-02-15 21:01:20.121,3.75,0
2026-02-15 21:23:29.384,3.75,0
2026-02-15 21:54:39.764,3.75,0
2026-02-15 22:17:39.192,3.75,0
2026-02-15 23:07:50.851,3.75,0
2026-02-15 23:21:58.989,3.75,0
2026-02-15 23:47:22.455,3.75,0
2026-02-16 00:45:03.280,3.75,0
2026-02-16 01:14:18.888,3.75,0
2026-02-16 01:53:43.365,3.75,0
2026-02-16 02:25:45.966,3.75,0
2026-02-16 02:46:31.327,3.75,0
2026-02-16 03:33:35.362,3.75,0
2026-02-16 03:58:17.189,3.75,0
2026-02-16 04:42:06.454,3.75,0
2026-02-16 05:01:10.746,3.75,0
2026-02-16 05:18:02.823,3.75,0
2026-02-16 06:12:03.309,3.75,0
2026-02-16 06:22:59.302,3.75,0
2026-02-16 07:11:34.970,3.75,0
2026-02-16 07:25:49.230,3.75,0
2026-02-16 07:49:25.123,3.75,0
2026-02-16 08:36:42.352,3.75,0
2026-02-16 09:10:30.239,3.75,0
2026-02-16 09:19:37.987,3.75,0
2026-02-16 10:08:29.413,3.75,0
2026-02-16 10:32:11.097,3.75,0
2026-02-16 10:51:56.531,3.75,0
2026-02-16 11:41:06.989,3.75,0
2026-02-16 11:57:28.416,3.75,0
2026-02-16 12:40:27.931,3.75,0
2026-02-16 13:01:48.277,3.75,0
2026-02-16 13:20:58.200,3.75,0
2026-02-16 13:57:19.339,3.75,0
2026-02-16 14:18:45.833,3.75,0
2026-02-16 14:49:35.026,3.75,0
2026-02-16 15:22:01.166,3.75,0
2026-02-16 16:04:43.938,3.75,0
2026-02-16 16:25:31.023,3.75,0
2026-02-16 16:57:38.465,3.75,0
2026-02-16 17:26:25.533,3.75,0
2026-02-16 18:12:23.565,3.75,0
2026-02-16 18:34:32.829,3.75,0
2026-02-16 18:52:42.376,3.75,0
2026-02-16 19:28:20.429,3.75,0
2026-02-16 19:48:57.302,3.75,0
2026-02-16 20:28:20.026,3.75,0
2026-02-16 20:53:56.405,3.75,0
2026-02-16 21:42:55.212,3.75,0
2026-02-16 21:59:42.354,3.75,0
2026-02-16 22:29:41.293,3.75,0
2026-02-16 23:08:45.406,3.75,0
2026-02-16 23:22:44.214,3.75,0
2026-02-16 23:49:41.993,3.75,0
2026-02-17 00:22:34.507,3.75,0
2026-02-17 00:59:19.291,3.75,0
2026-02-17 01:20:36.754,3.75,0
2026-02-17 02:00:23.925,3.75,0
2026-02-17 02:29:05.179,3.75,0
2026-02-17 02:56:09.154,3.75,0
2026-02-17 03:31:46.981,3.75,0
2026-02-17 03:56:10.223,3.75,0
2026-02-17 04:31:24.409,3.75,0
2026-02-17 04:59:11.301,3.75,0
2026-02-17 05:17:24.505,3.75,0
2026-02-17 06:09:59.999,3.75,0
2026-02-17 06:34:27.189,3.75,0
2026-02-17 06:56:02.545,3.75,0
2026-02-17 07:28:35.768,3.75,0
2026-02-17 07:47:49.464,3.75,0
2026-02-17 08:25:55.122,3.75,0
2026-02-17 09:10:00.753,3.75,0
2026-02-17 09:34:34.190,3.75,0
2026-02-17 10:05:51.407,3.75,0
2026-02-17 10:21:55.195,3.75,0
2026-02-17 11:08:27.016,3.75,0
2026-02-17 11:35:28.853,3.75,0
2026-02-17 12:08:43.511,3.75,0
2026-02-17 12:26:43.279,3.75,0
2026-02-17 12:58:50.383,3.75,0
2026-02-17 13:35:57.581,3.75,0
2026-02-17 13:48:08.804,3.75,0
2026-02-17 14:40:33.800,3.75,0
2026-02-17 14:48:10.763,3.75,0
2026-02-17 15:40:24.029,3.75,0
2026-02-17 16:04:29.239,3.75,0
2026-02-17 16:39:04.773,3.75,0
2026-02-17 16:51:41.185,3.75,0
2026-02-17 17:18:45.118,3.75,0
2026-02-17 18:12:33.243,3.75,0
2026-02-17 18:25:18.068,3.75,0
2026-02-17 19:12:54.648,3.75,0
2026-02-17 19:32:37.272,3.75,0
2026-02-17 19:56:04.788,3.75,0
2026-02-17 20:35:10.664,3.75,0
2026-02-17 20:55:43.108,3.75,0
2026-02-17 21:19:04.402,3.75,0
2026-02-17 21:59:34.928,3.75,0
2026-02-17 22:19:10.378,3.75,0
2026-02-17 23:02:17.261,3.75,0
2026-02-17 23:32:50.636,3.75,0
2026-02-18 00:05:31.254,3.75,0
2026-02-18 00:18:54.675,3.75,0
2026-02-18 00:48:47.957,3.75,0
2026-02-18 01:17:22.266,3.75,0
2026-02-18 01:57:34.942,3.75,0
2026-02-18 02:17:43.639,3.75,0
2026-02-18 03:05:49.699,3.75,0
2026-02-18 03:37:01.537,3.75,0
2026-02-18 03:52:56.890,3.75,0
2026-02-18 04:23:28.242,3.75,0
2026-02-18 04:57:38.786,3.75,0
2026-02-18 05:08:21.135,3.75,0
